SOMAMER_ID	UniProt	TargetFullName	Target	HGNC	ensembl_id	chrom	gene	tss
CDK2AP1.9450.18.3	O14519	Cyclin-dependent kinase 2-associated protein 1	CDKA1	CDK2AP1	ENSG00000111328	12	ENSG00000111328	123754737.0
CDK5.CDK5R1.3358.51.2	Q00535,Q15078	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	CDK5/p35	CDK5.CDK5R1	ENSG00000164885	7	ENSG00000164885	150754935.0
CDK5.CDK5R1.3358.51.2	Q00535,Q15078	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	CDK5/p35	CDK5.CDK5R1	ENSG00000176749	17	ENSG00000176749	30814814.0
CDK8.CCNC.3359.11.2	P24863,P49336	Cyclin-dependent kinase 8:Cyclin-C complex	CDK8/cyclin C	CDK8.CCNC	ENSG00000132964	13	ENSG00000132964	26935526.0
CDK8.CCNC.3359.11.2	P24863,P49336	Cyclin-dependent kinase 8:Cyclin-C complex	CDK8/cyclin C	CDK8.CCNC	ENSG00000112237	6	ENSG00000112237	100016514.5
CDKN1B.3719.2.2	P46527	Cyclin-dependent kinase inhibitor 1B	p27Kip1	CDKN1B	ENSG00000111276	12	ENSG00000111276	12870407.0
CDKN2B.9874.28.3	P42772	Cyclin-dependent kinase 4 inhibitor B	p15-INK4b	CDKN2B	ENSG00000147883	9	ENSG00000147883	22009111.5
CDKN3.14178.18.3	Q16667	Cyclin-dependent kinase inhibitor 3	CDKN3	CDKN3	ENSG00000100526	14	ENSG00000100526	54863719.5
CDNF.4962.52.1	Q49AH0	Cerebral dopamine neurotrophic factor	ARMEL	CDNF	ENSG00000185267	10	ENSG00000185267	14879921.0
CDON.4541.49.2	Q4KMG0	Cell adhesion molecule-related/down-regulated by oncogenes	CDON	CDON	ENSG00000064309	11	ENSG00000064309	125932706.0
CDSN.7085.81.3	Q15517	Corneodesmosin	CDSN	CDSN	ENSG00000204539	6	ENSG00000204539	31088223.0
CDY1.7097.8.3	Q9Y6F8	Testis-specific chromodomain protein Y 1	CDY1	CDY1	ENSG00000172288	Y	ENSG00000172288	27768286.5
CEACAM1.8031.11.3	P13688	Carcinoembryonic antigen-related cell adhesion molecule 1	CEACAM1	CEACAM1	ENSG00000079385	19	ENSG00000079385	43032619.5
CEACAM21.7204.1.3	Q3KPI0	Carcinoembryonic antigen-related cell adhesion molecule 21	CEA21	CEACAM21	ENSG00000007129	19	ENSG00000007129	42076783.5
CEACAM4.10910.6.3	O75871	Carcinoembryonic antigen-related cell adhesion molecule 4	CEAM4	CEACAM4	ENSG00000105352	19	ENSG00000105352	42133442.0
CEBPB.10337.83.3	P17676	CCAAT/enhancer-binding protein beta	CEBPB	CEBPB	ENSG00000172216	20	ENSG00000172216	48807376.0
CECR1.6077.63.3	Q9NZK5	Adenosine deaminase CECR1	CECR1	CECR1	ENSG00000093072	22	ENSG00000093072	17700266.0
CEL.9796.4.3	P19835	Bile salt-activated lipase	CEL	CEL	ENSG00000170835	9	ENSG00000170835	135937365.0
CELA2A.7140.1.3	P08217	Chymotrypsin-like elastase family member 2A	ELA2A	CELA2A	ENSG00000142615	1	ENSG00000142615	15783224.0
CELA3B.6357.83.3	P08861	Chymotrypsin-like elastase family member 3B	ELA3B	CELA3B	ENSG00000219073	1	ENSG00000219073	22305990.5
CELF2.7245.2.3	O95319	CUGBP Elav-like family member 2	CELF2	CELF2	ENSG00000048740	10	ENSG00000048740	11206993.0
CENPW.8864.59.3	Q5EE01	Centromere protein W	CENPW	CENPW	ENSG00000203760	6	ENSG00000203760	126661320.0
CEP57.11276.1.3	Q86XR8	Centrosomal protein of 57 kDa	CEP57	CEP57	ENSG00000166037	11	ENSG00000166037	95523696.0
CEP57.9067.152.3	Q86XR8	Centrosomal protein of 57 kDa	CEP57	CEP57	ENSG00000166037	11	ENSG00000166037	95523696.0
CEP57.9905.8.3	Q86XR8	Centrosomal protein of 57 kDa	CEP57	CEP57	ENSG00000166037	11	ENSG00000166037	95523696.0
CERS5.13494.6.3	Q8N5B7	Ceramide synthase 5	CERS5	CERS5	ENSG00000139624	12	ENSG00000139624	50549682.5
CETN2.13078.3.3	P41208	Centrin-2	CETN2	CETN2	ENSG00000147400	X	ENSG00000147400	151998781.0
CFAP45.6553.68.3	Q9UL16	Cilia- and flagella-associated protein 45	CCD19	CFAP45				
CFB.4129.72.1	P00751	Complement factor B	Factor B	CFB	ENSG00000243649	6	ENSG00000243649	31915574.0
CFC1.3294.55.2	P0CG37	Cryptic protein	CFC1	CFC1	ENSG00000136698	2	ENSG00000136698	131357123.0
CFH.4159.130.1	P08603	Complement factor H	Factor H	CFH	ENSG00000000971	1	ENSG00000000971	196621186.0
CFHR5.3666.17.4	Q9BXR6	Complement factor H-related protein 5	complement factor H-related 5	CFHR5	ENSG00000134389	1	ENSG00000134389	196946676.5
CFHR5.7885.17.3	Q9BXR6	Complement factor H-related protein 5	complement factor H-related 5	CFHR5	ENSG00000134389	1	ENSG00000134389	196946676.5
CFI.2567.5.6	P05156	Complement factor I	Factor I	CFI	ENSG00000205403	4	ENSG00000205403	110723137.5
CFL1.4203.50.2	P23528	Cofilin-1	Cofilin-1	CFL1	ENSG00000172757	11	ENSG00000172757	65625628.0
CFP.2960.66.2	P27918	Properdin	Properdin	CFP	ENSG00000126759	X	ENSG00000126759	47489351.0
CGA.14056.4.3	P01215	Glycoprotein hormones alpha chain	Glycoprotein hormones a-chain	CGA	ENSG00000135346	6	ENSG00000135346	87804824.0
CGA.CGB.4914.10.1	P01215,P01233	Human Chorionic Gonadotropin	HCG	CGA.CGB	ENSG00000135346	6	ENSG00000135346	87804824.0
CGA.CGB.4914.10.1	P01215,P01233	Human Chorionic Gonadotropin	HCG	CGA.CGB	ENSG00000104827	19	ENSG00000104827	49527590.0
CGA.FSHB.3032.11.2	P01215,P01225	Follicle stimulating hormone	FSH	CGA.FSHB	ENSG00000135346	6	ENSG00000135346	87804824.0
CGA.FSHB.3032.11.2	P01215,P01225	Follicle stimulating hormone	FSH	CGA.FSHB	ENSG00000131808	11	ENSG00000131808	30252563.0
CGA.LHB.2953.31.2	P01215,P01229	Luteinizing hormone	Luteinizing hormone	CGA.LHB	ENSG00000135346	6	ENSG00000135346	87804824.0
CGA.LHB.2953.31.2	P01215,P01229	Luteinizing hormone	Luteinizing hormone	CGA.LHB	ENSG00000104826	19	ENSG00000104826	49520338.0
CGA.TSHB.3521.16.2	P01215,P01222	Thyroid Stimulating Hormone	TSH	CGA.TSHB	ENSG00000135346	6	ENSG00000135346	87804824.0
CGA.TSHB.3521.16.2	P01215,P01222	Thyroid Stimulating Hormone	TSH	CGA.TSHB	ENSG00000134200	1	ENSG00000134200	115574199.5
CGB2.6213.10.3	Q6NT52	Choriogonadotropin subunit beta variant 2	CGB2	CGB2	ENSG00000104818	19	ENSG00000104818	49535202.0
CGREF1.6257.56.3	Q99674	Cell growth regulator with EF hand domain protein 1	CGRE1	CGREF1	ENSG00000138028	2	ENSG00000138028	27341898.0
CHAD.13460.4.3	O15335	Chondroadherin	CHAD	CHAD	ENSG00000136457	17	ENSG00000136457	48546267.0
CHCHD10.11270.17.3	Q8WYQ3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	CHC10	CHCHD10	ENSG00000250479	22	ENSG00000250479	24110107.0
CHCHD2.8015.144.3	Q9Y6H1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	CHCH2	CHCHD2	ENSG00000106153	7	ENSG00000106153	56174196.5
CHD7.14005.2.3	Q9P2D1	Chromodomain-helicase-DNA-binding protein 7	CHD7	CHD7	ENSG00000171316	8	ENSG00000171316	61655591.0
CHEK1.2853.68.2	O14757	Serine/threonine-protein kinase Chk1	CHK1	CHEK1	ENSG00000149554	11	ENSG00000149554	125495902.0
CHGA.8476.11.3	P10645	Chromogranin-A	CgA	CHGA	ENSG00000100604	14	ENSG00000100604	93389614.5
CHGB.8235.48.3	P05060	Secretogranin-1	SCG1	CHGB	ENSG00000089199	20	ENSG00000089199	5892176.0
CHI3L1.11104.13.3	P36222	Chitinase-3-like protein 1	YKL-40	CHI3L1	ENSG00000133048	1	ENSG00000133048	203151933.0
CHI3L2.9383.24.3	Q15782	Chitinase-3-like protein 2	CH3L2	CHI3L2	ENSG00000064886	1	ENSG00000064886	111772375.0
CHIC2.10914.4.3	Q9UKJ5	Cysteine-rich hydrophobic domain-containing protein 2	CHIC2	CHIC2	ENSG00000109220	4	ENSG00000109220	54930471.0
CHIT1.3600.2.3	Q13231	Chitotriosidase-1	Chitotriosidase-1	CHIT1	ENSG00000133063	1	ENSG00000133063	203198799.0
CHKB.13117.232.3	Q9Y259	Choline/ethanolamine kinase	CHKB	CHKB	ENSG00000100288	22	ENSG00000100288	51021251.0
CHL1.3601.54.3	O00533	Neural cell adhesion molecule L1-like protein	CHL1	CHL1	ENSG00000134121	3	ENSG00000134121	239690.0
CHP1.12458.79.3	Q99653	Calcineurin B homologous protein 1	CHP1	CHP1	ENSG00000187446	15	ENSG00000187446	41523437.0
CHRD.13438.115.3	Q9H2X0	Chordin	CHRD	CHRD	ENSG00000090539	3	ENSG00000090539	184098136.0
CHRDL1.3362.61.2	Q9BU40	Chordin-like protein 1	CRDL1	CHRDL1	ENSG00000101938	X	ENSG00000101938	110039047.0
CHRDL2.6086.15.3	Q6WN34	Chordin-like protein 2	CRDL2	CHRDL2	ENSG00000054938	11	ENSG00000054938	74430348.0
CHST1.7803.4.3	O43916	Carbohydrate sulfotransferase 1	CHST1	CHST1	ENSG00000175264	11	ENSG00000175264	45687144.0
CHST11.7779.86.3	Q9NPF2	Carbohydrate sulfotransferase 11	CHSTB	CHST11	ENSG00000171310	12	ENSG00000171310	104850750.0
CHST14.7262.191.3	Q8NCH0	Carbohydrate sulfotransferase 14	CHSTE	CHST14	ENSG00000169105	15	ENSG00000169105	40763222.5
CHST15.14097.86.3	Q7LFX5	Carbohydrate sulfotransferase 15	ST4S6	CHST15	ENSG00000182022	10	ENSG00000182022	125851970.0
CHST15.4469.78.2	Q7LFX5	Carbohydrate sulfotransferase 15	ST4S6	CHST15	ENSG00000182022	10	ENSG00000182022	125851970.0
CHST2.4428.1.2	Q9Y4C5	Carbohydrate sulfotransferase 2	CHST2	CHST2	ENSG00000175040	3	ENSG00000175040	142838173.0
CHST3.7189.55.3	Q7LGC8	Carbohydrate sulfotransferase 3	CHST3	CHST3	ENSG00000122863	10	ENSG00000122863	73724123.0
CHST5.7020.13.3	Q9GZS9	Carbohydrate sulfotransferase 5	CHST5	CHST5	ENSG00000135702	16	ENSG00000135702	75569068.0
CHST6.4429.51.2	Q9GZX3	Carbohydrate sulfotransferase 6	CHST6	CHST6	ENSG00000183196	16	ENSG00000183196	75529104.0
CHST9.11646.4.3	Q7L1S5	Carbohydrate sulfotransferase 9	Carbohydrate sulfotransferase 9	CHST9	ENSG00000154080	18	ENSG00000154080	24765262.0
CILP.5717.2.3	O75339	Cartilage intermediate layer protein 1	CILP	CILP	ENSG00000138615	15	ENSG00000138615	65503826.0
CIRBP.12724.81.3	Q14011	Cold-inducible RNA-binding protein	CIRBP	CIRBP	ENSG00000099622	19	ENSG00000099622	1269333.0
CISD1.7745.3.3	Q9NZ45	CDGSH iron-sulfur domain-containing protein 1	ZCD1	CISD1	ENSG00000122873	10	ENSG00000122873	60031042.0
CISD2.8094.20.3	Q8N5K1	CDGSH iron-sulfur domain-containing protein 2	CISD2	CISD2	ENSG00000145354	4	ENSG00000145354	103790211.0
CKAP2.5345.51.3	Q8WWK9	Cytoskeleton-associated protein 2	CKAP2	CKAP2	ENSG00000136108	13	ENSG00000136108	53029602.0
CKB.3800.71.2	P12277	Creatine kinase B-type	CK-BB	CKB	ENSG00000166165	14	ENSG00000166165	103989033.0
CKM.2670.67.4	P06732	Creatine kinase M-type	CK-MM	CKM	ENSG00000104879	19	ENSG00000104879	45826235.0
CLC.11094.104.3	Q05315	Galectin-10	LPPL	CLC	ENSG00000105205	19	ENSG00000105205	40228668.0
CLEC10A.10955.4.3	Q8IUN9	C-type lectin domain family 10 member A	CLC10	CLEC10A	ENSG00000132514	17	ENSG00000132514	6983576.0
CLEC11A.2966.65.2	Q9Y240	Stem Cell Growth Factor-beta	SCGF-beta	CLEC11A	ENSG00000105472	19	ENSG00000105472	51226683.0
CLEC12A.11187.11.3	Q5QGZ9	C-type lectin domain family 12 member A	CL12A	CLEC12A	ENSG00000172322	12	ENSG00000172322	10124034.0
CLEC14A.10461.57.3	Q86T13	C-type lectin domain family 14 member A	CLC14	CLEC14A	ENSG00000176435	14	ENSG00000176435	38725574.0
CLEC2A.10953.14.3	Q6UVW9	C-type lectin domain family 2 member A	CLC2A	CLEC2A	ENSG00000188393	12	ENSG00000188393	10084963.0
CLEC2B.7786.83.3	Q92478	C-type lectin domain family 2 member B	CLC2B	CLEC2B	ENSG00000110852	12	ENSG00000110852	10021969.0
CLEC2D.7054.87.3	Q9UHP7	C-type lectin domain family 2 member D	CLC2D	CLEC2D	ENSG00000069493	12	ENSG00000069493	9822327.5
CLEC2L.8242.9.3	P0C7M8	C-type lectin domain family 2 member L	CLC2L	CLEC2L	ENSG00000236279	7	ENSG00000236279	139208828.0
CLEC4D.7752.31.3	Q8WXI8	C-type lectin domain family 4 member D	CLC4D	CLEC4D	ENSG00000166527	12	ENSG00000166527	8664103.5
CLEC4E.7077.9.4	Q9ULY5	C-type lectin domain family 4 member E	CLC4E	CLEC4E	ENSG00000166523	12	ENSG00000166523	8693485.0
CLEC4M.3030.3.2	Q9H2X3	C-type lectin domain family 4 member M	DC-SIGNR	CLEC4M	ENSG00000104938	19	ENSG00000104938	7828130.0
CLEC5A.8282.15.3	Q9NY25	C-type lectin domain family 5 member A	CLC5A	CLEC5A	ENSG00000258227	7	ENSG00000258227	141646736.0
CLEC6A.6911.103.3	Q6EIG7	C-type lectin domain family 6 member A	CLC6A	CLEC6A	ENSG00000205846	12	ENSG00000205846	8608522.0
CLEC7A.3603.60.5	Q9BXN2	C-type lectin domain family 7 member A	CLC7A	CLEC7A	ENSG00000172243	12	ENSG00000172243	10282788.0
CLECL1.14308.192.3	Q8IZS7	C-type lectin-like domain family 1	CLCL1	CLECL1	ENSG00000184293	12	ENSG00000184293	9885715.0
CLIC4.12491.23.3	Q9Y696	Chloride intracellular channel protein 4	CLIC4	CLIC4	ENSG00000169504	1	ENSG00000169504	25071873.0
CLIC5.12475.48.3	Q9NZA1	Chloride intracellular channel protein 5	CLIC5	CLIC5	ENSG00000112782	6	ENSG00000112782	45944308.5
CLINT1.11659.31.3	Q14677	Clathrin interactor 1	EPN4	CLINT1	ENSG00000113282	5	ENSG00000113282	157233020.0
CLK2.11327.56.3	P49760	Dual specificity protein kinase CLK2	CLK2	CLK2	ENSG00000176444	1	ENSG00000176444	155243196.5
CLMP.10440.26.3	Q9H6B4	CXADR-like membrane protein	ACAM	CLMP	ENSG00000166250	11	ENSG00000166250	122962048.0
CLMP.9585.80.3	Q9H6B4	CXADR-like membrane protein	ACAM	CLMP	ENSG00000166250	11	ENSG00000166250	122962048.0
CLN5.8874.53.3	O75503	Ceroid-lipofuscinosis neuronal protein 5	CLN5	CLN5	ENSG00000102805	13	ENSG00000102805	77565523.0
CLN5.9795.9.3	O75503	Ceroid-lipofuscinosis neuronal protein 5	CLN5	CLN5	ENSG00000102805	13	ENSG00000102805	77565523.0
CLPB.11860.3.3	Q9H078	Caseinolytic peptidase B protein homolog	CLPB	CLPB	ENSG00000162129	11	ENSG00000162129	72145426.0
CLPS.5749.53.3	P04118	Colipase	COL	CLPS	ENSG00000137392	6	ENSG00000137392	35765088.0
CLPSL2.7767.1.3	Q6UWE3	Colipase-like protein 2	CF126	CLPSL2	ENSG00000196748	6	ENSG00000196748	35744394.0
CLSTN3.6291.55.3	Q9BQT9	Calsyntenin-3	Alcadein-beta	CLSTN3	ENSG00000139182	12	ENSG00000139182	7285241.5
CLTC.13711.10.3	Q00610	Clathrin heavy chain 1	CLH1	CLTC	ENSG00000141367	17	ENSG00000141367	57729461.5
CLU.4542.24.2	P10909	Clusterin	Clusterin	CLU	ENSG00000120885	8	ENSG00000120885	27469483.0
CMA1.3423.59.2	P23946	Chymase	Chymase	CMA1	ENSG00000092009	14	ENSG00000092009	24977471.0
CMPK1.4786.58.3	P30085	UMP-CMP kinase	Cytidylate kinase	CMPK1	ENSG00000162368	1	ENSG00000162368	47799551.0
CMPK1.8312.139.3	P30085	UMP-CMP kinase	Cytidylate kinase	CMPK1	ENSG00000162368	1	ENSG00000162368	47799551.0
CNDP2.3192.3.2	Q96KP4	Cytosolic non-specific dipeptidase	Glutamate carboxypeptidase	CNDP2	ENSG00000133313	18	ENSG00000133313	72166656.0
CNEP1R1.13532.25.3	Q8N9A8	Nuclear envelope phosphatase-regulatory subunit 1	NEPR1	CNEP1R1	ENSG00000205423	16	ENSG00000205423	50059173.0
CNOT1.13482.14.3	A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1	CNOT1	ENSG00000125107	16	ENSG00000125107	58608967.0
CNP.6609.22.3	P09543	2',3'-cyclic-nucleotide 3'-phosphodiesterase	CN37	CNP	ENSG00000173786	17	ENSG00000173786	40118833.0
CNTF.3489.9.2	P26441	Ciliary neurotrophic factor	CNTF	CNTF	ENSG00000242689	11	ENSG00000242689	58390146.0
CNTFR.14101.2.3	P26992	Ciliary neurotrophic factor receptor subunit alpha	CNTFR alpha	CNTFR	ENSG00000122756	9	ENSG00000122756	34589735.0
CNTFR.2711.6.2	P26992	Ciliary neurotrophic factor receptor subunit alpha	CNTFR alpha	CNTFR	ENSG00000122756	9	ENSG00000122756	34589735.0
CNTN2.3296.92.2	Q02246	Contactin-2	CNTN2	CNTN2	ENSG00000184144	1	ENSG00000184144	205027733.0
CNTN4.3298.52.2	Q8IWV2	Contactin-4	Contactin-4	CNTN4	ENSG00000144619	3	ENSG00000144619	2613025.0
CNTN5.3299.29.2	O94779	Contactin-5	Contactin-5	CNTN5	ENSG00000149972	11	ENSG00000149972	99426870.0
CNTNAP1.14617.7.3	P78357	Contactin-associated protein 1	CNTP1	CNTNAP1	ENSG00000108797	17	ENSG00000108797	40836998.0
CNTNAP2.6965.19.3	Q9UHC6	Contactin-associated protein-like 2	CNTP2	CNTNAP2	ENSG00000174469	7	ENSG00000174469	147830776.0
COA3.7888.58.3	Q9Y2R0	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial	CCD56	COA3	ENSG00000183978	17	ENSG00000183978	40950715.0
COCH.7227.75.3	O43405	Cochlin	COCH	COCH	ENSG00000100473	14	ENSG00000100473	31343960.0
COG8.9543.131.3	Q96MW5	Conserved oligomeric Golgi complex subunit 8	COG8	COG8	ENSG00000213380	16	ENSG00000213380	69373396.0
COL11A2.11278.4.3	P13942	Collagen alpha-2(XI) chain	COL11A2	COL11A2	ENSG00000204248	6	ENSG00000204248	33160245.0
COL15A1.8974.172.3	P39059	Collagen alpha-1(XV) chain	COFA1	COL15A1	ENSG00000204291	9	ENSG00000204291	101705921.0
COL18A1.2201.17.6	P39060	Endostatin	Endostatin	COL18A1	ENSG00000182871	21	ENSG00000182871	46910189.0
COL1A1.11140.56.3	P02452	Collagen alpha-1(I) chain	CO1A1	COL1A1	ENSG00000108821	17	ENSG00000108821	48271713.0
COL20A1.8804.39.3	Q9P218	Collagen alpha-1(XX) chain	COKA1	COL20A1	ENSG00000101203	20	ENSG00000101203	61938415.0
COL26A1.9539.25.3	Q96A83	Collagen alpha-1(XXVI) chain	EMID2	COL26A1	ENSG00000160963	7	ENSG00000160963	101006140.0
COL28A1.10702.1.3	Q2UY09	Collagen alpha-1(XXVIII) chain	COSA1	COL28A1	ENSG00000215018	7	ENSG00000215018	7468503.5
COL6A1.11150.3.3	P12109	Collagen alpha-1(VI) chain	Collagen a1(VI)	COL6A1	ENSG00000142156	21	ENSG00000142156	47420079.5
COL6A3.11196.31.3	P12111	Collagen alpha-3(VI) chain	Collagen alpha-3(VI)	COL6A3	ENSG00000163359	2	ENSG00000163359	238322791.0
COL6A5.11155.16.3	A8TX70	Collagen alpha-5(VI) chain	CO6A5	COL6A5	ENSG00000172752	3	ENSG00000172752	130107333.0
COL8A1.4807.13.3	P27658	Collagen alpha-1(VIII) chain	CO8A1	COL8A1	ENSG00000144810	3	ENSG00000144810	99357319.0
COL9A2.9804.11.3	Q14055	Collagen alpha-2(IX) chain	CO9A2	COL9A2	ENSG00000049089	1	ENSG00000049089	40782374.0
COLEC10.6558.5.3	Q9Y6Z7	Collectin-10	COL10	COLEC10	ENSG00000184374	8	ENSG00000184374	120043585.5
COLEC11.4430.44.3	Q9BWP8	Collectin-11	Collectin Kidney 1	COLEC11	ENSG00000118004	2	ENSG00000118004	3642744.0
COLEC12.5457.5.2	Q5KU26	Collectin-12	COLEC12	COLEC12	ENSG00000158270	18	ENSG00000158270	500722.0
COLEC12.9787.23.3	Q5KU26	Collectin-12	COLEC12	COLEC12	ENSG00000158270	18	ENSG00000158270	500722.0
COLGALT1.5638.23.3	Q8NBJ5	Procollagen galactosyltransferase 1	GT251	COLGALT1	ENSG00000130309	19	ENSG00000130309	17678132.0
COLGALT2.7234.12.3	Q8IYK4	Procollagen galactosyltransferase 2	GT252	COLGALT2	ENSG00000198756	1	ENSG00000198756	183933634.0
COMMD1.12509.115.3	Q8N668	COMM domain-containing protein 1	COMD1	COMMD1	ENSG00000173163	2	ENSG00000173163	62132809.0
COMMD7.2823.7.1	Q86VX2	COMM domain-containing protein 7	COMMD7	COMMD7	ENSG00000149600	20	ENSG00000149600	31331256.0
COPS2.14029.42.3	P61201	COP9 signalosome complex subunit 2	CSN2	COPS2	ENSG00000166200	15	ENSG00000166200	49447801.0
COTL1.4905.63.1	Q14019	Coactosin-like protein	Coactosin-like protein	COTL1	ENSG00000103187	16	ENSG00000103187	84651415.0
COX4I2.7850.1.3	Q96KJ9	Cytochrome c oxidase subunit 4 isoform 2, mitochondrial	COX42	COX4I2	ENSG00000131055	20	ENSG00000131055	30225713.5
COX5B.7887.57.3	P10606	Cytochrome c oxidase subunit 5B, mitochondrial	COX5B	COX5B	ENSG00000135940	2	ENSG00000135940	98262656.0
COX6C.8903.1.3	P09669	Cytochrome c oxidase subunit 6C	COX6C	COX6C	ENSG00000164919	8	ENSG00000164919	100905909.0
COX7A1.8390.25.3	P24310	Cytochrome c oxidase subunit 7A1, mitochondrial	CX7A1	COX7A1	ENSG00000161281	19	ENSG00000161281	36643344.5
COX8A.10497.242.3	P10176	Cytochrome c oxidase subunit 8A, mitochondrial	COX8A	COX8A	ENSG00000176340	11	ENSG00000176340	63742079.0
CPA2.9276.7.3	P48052	Carboxypeptidase A2	CBPA2	CPA2	ENSG00000158516	7	ENSG00000158516	129906706.0
CPA4.9267.2.3	Q9UI42	Carboxypeptidase A4	CBPA4	CPA4	ENSG00000128510	7	ENSG00000128510	129933001.0
CPB1.6356.3.3	P15086	Carboxypeptidase B	Carboxypeptidase B1	CPB1	ENSG00000153002	3	ENSG00000153002	148545659.0
CPM.7768.10.3	P14384	Carboxypeptidase M	CBPM	CPM	ENSG00000135678	12	ENSG00000135678	69326951.0
CPNE1.5346.24.3	Q99829	Copine-1	CPNE1	CPNE1	ENSG00000214078	20	ENSG00000214078	34252804.0
CPVL.8891.7.3	Q9H3G5	Probable serine carboxypeptidase CPVL	CPVL	CPVL	ENSG00000106066	7	ENSG00000106066	29186133.0
CPXM1.6255.74.3	Q96SM3	Probable carboxypeptidase X1	CPXM1	CPXM1	ENSG00000088882	20	ENSG00000088882	2781283.0
CPZ.6493.9.3	Q66K79	Carboxypeptidase Z	CBPZ	CPZ	ENSG00000109625	4	ENSG00000109625	8594496.0
CRABP1.11967.23.3	P29762	Cellular retinoic acid-binding protein 1	RABP1	CRABP1	ENSG00000166426	15	ENSG00000166426	78632818.0
CRABP2.11696.7.3	P29373	Cellular retinoic acid-binding protein 2	RABP2	CRABP2	ENSG00000143320	1	ENSG00000143320	156675539.0
CRB1.12012.33.3	P82279	Protein crumbs homolog 1	Crumbs homolog	CRB1	ENSG00000134376	1	ENSG00000134376	197269937.0
CREB3L1.11198.37.3	Q96BA8	Cyclic AMP-responsive element-binding protein 3-like protein 1	CR3L1	CREB3L1	ENSG00000157613	11	ENSG00000157613	46332465.0
CREB3L4.11308.8.3	Q8TEY5	Cyclic AMP-responsive element-binding protein 3-like protein 4	CR3L4	CREB3L4	ENSG00000143578	1	ENSG00000143578	153940713.0
CREBBP.13614.6.3	Q92793	CREB-binding protein	CREB-binding protein	CREBBP	ENSG00000005339	16	ENSG00000005339	3819268.5
CREG1.9357.4.3	O75629	Protein CREG1	CREG1	CREG1	ENSG00000143162	1	ENSG00000143162	167519210.5
CRELD1.7628.40.3	Q96HD1	Cysteine-rich with EGF-like domain protein 1	CREL1	CRELD1	ENSG00000163703	3	ENSG00000163703	9976167.0
CRH.5614.44.3	P06850	Corticoliberin	CRH	CRH	ENSG00000147571	8	ENSG00000147571	67090960.0
CRHBP.6039.24.3	P24387	Corticotropin-releasing factor-binding protein	CRHBP	CRHBP	ENSG00000145708	5	ENSG00000145708	76249242.0
CRIM1.8699.43.3	Q9NZV1	Cysteine-rich motor neuron 1 protein	CRIM1	CRIM1	ENSG00000150938	2	ENSG00000150938	36600879.0
CRISP2.9282.12.3	P16562	Cysteine-rich secretory protein 2	CRIS2	CRISP2	ENSG00000124490	6	ENSG00000124490	49681274.0
CRISP3.3187.52.2	P54108	Cysteine-rich secretory protein 3	CRIS3	CRISP3	ENSG00000096006	6	ENSG00000096006	49712113.0
CRISPLD2.5691.2.3	Q9H0B8	Cysteine-rich secretory protein LCCL domain-containing 2	CRLD2	CRISPLD2	ENSG00000103196	16	ENSG00000103196	84853609.0
CRK.4976.57.1	P46108	Adapter molecule crk	CRK	CRK	ENSG00000167193	17	ENSG00000167193	1359534.5
CRKL.9877.28.3	P46109	Crk-like protein	CRKL	CRKL	ENSG00000099942	22	ENSG00000099942	21271718.0
CRLF1.CLCF1.2607.54.2	O75462,Q9UBD9	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	CLF-1/CLC Complex	CRLF1.CLCF1	ENSG00000175505	11	ENSG00000175505	67141208.0
CRLF1.CLCF1.2607.54.2	O75462,Q9UBD9	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	CLF-1/CLC Complex	CRLF1.CLCF1	ENSG00000006016	19	ENSG00000006016	18709403.0
CRLF2.13694.24.3	Q9HC73	Cytokine receptor-like factor 2	TSLP R	CRLF2	ENSG00000205755	X	ENSG00000205755	1331528.5
CRLF2.2746.56.1	Q9HC73	Cytokine receptor-like factor 2	TSLP R	CRLF2	ENSG00000205755	X	ENSG00000205755	1331528.5
CROT.13929.27.3	Q9UKG9	Peroxisomal carnitine O-octanoyltransferase	OCTC	CROT	ENSG00000005469	7	ENSG00000005469	86975651.0
CRP.4337.49.2	P02741	C-reactive protein	CRP	CRP	ENSG00000132693	1	ENSG00000132693	159684379.0
CRTAM.5068.54.3	O95727	Cytotoxic and regulatory T-cell molecule	CRTAM	CRTAM	ENSG00000109943	11	ENSG00000109943	122733011.0
CRTAM.7968.15.3	O95727	Cytotoxic and regulatory T-cell molecule	CRTAM	CRTAM	ENSG00000109943	11	ENSG00000109943	122733011.0
CRYAA.10087.10.3	P02489	Alpha-crystallin A chain	Alpha crystallin A chain	CRYAA	ENSG00000160202	21	ENSG00000160202	44589711.0
CRYBB2.10000.28.3	P43320	Beta-crystallin B2	CRBB2	CRYBB2	ENSG00000244752	22	ENSG00000244752	25615489.0
CRYGD.12366.16.3	P07320	Gamma-crystallin D	CRGD	CRYGD	ENSG00000118231	2	ENSG00000118231	208989225.0
